book_id,title,death_year,extent_bytes,category,matched_keywords
16831,"The Improvement of Human Reason
Exhibited in the Life of Hai Ebn Yokdhan",1185,283724,other,
1687,Parmenides,-348,221910,other,
16927,"Tacitus: The Histories, Volumes I and II",117,744408,other,
16990,The Story of Troy,-650,305708,other,
17075,"Dialogue of Comfort Against Tribulation
With Modifications To Obsolete Language By Monica Stevens",1535,581117,other,
1726,Theaetetus,-348,397587,other,
1727,"The Odyssey
Rendered into English prose for the use of those who cannot read the original",-650,717826,other,
1728,The Odyssey of Homer,-650,790930,other,
1735,Sophist,-348,286716,other,
1738,Statesman,-348,253004,other,
1744,Philebus,-348,286940,other,
17490,The Memorable Thoughts of Socrates,-355,335175,other,
1750,Laws,-348,1364463,other,
17611,"Summa Theologica, Part I (Prima Pars)
From the Complete American Edition",1274,2911982,other,
17650,"The Sonnets, Triumphs, and Other Poems of Petrarch",1374,1196089,other,
17897,"Summa Theologica, Part I-II (Pars Prima Secundae)
From the Complete American Edition",1274,2903089,other,
18299,"The Norwegian account of Haco's expedition against Scotland, A.D. MCCLXIII.",1284,95194,other,
18459,Hypnerotomachia: The Strife of Loue in a Dreame,1527,443678,other,
18466,"The Æneid of Virgil, Translated into English Verse",-19,688692,other,
18590,"The Letters of Cassiodorus
Being a Condensed Translation of the Variae Epistolae of Magnus Aurelius Cassiodorus Senator",580,1210146,other,
18755,"Summa Theologica, Part II-II (Secunda Secundae)
Translated by Fathers of the English Dominican Province",1274,4214883,other,
18867,"The Poems and Fragments of Catullus
Translated in the Metres of the Original",-53,191524,other,
18947,"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",1241,407658,other,
19559,Book of illustrations : Ancient Tragedy,-456,261477,other,
19679,Cathay,762,23140,other,
19725,"The History of Rome, Books 01 to 08",16,1392142,other,
1974,The Poetics of Aristotle,-322,108556,other,
19840,Euthyphro,-348,22504,other,
1995,"The Divine Comedy, Volume 1, Hell",1321,290862,other,
19950,"Summa Theologica, Part III (Tertia Pars)
From the Complete American Edition",1274,2757589,other,
1996,"The Divine Comedy, Volume 2, Purgatory",1321,309789,other,
1997,"The Divine Comedy, Volume 3, Paradise",1321,308334,other,
20144,The Fourth Book of Virgil's Aeneid and the Ninth Book of Voltaire's Henriad,-19,100765,other,
20179,"The Ship of Fools, Volume 1",1521,535420,other,
20685,Poetics,-322,22770,other,
20732,The Carmina of Caius Valerius Catullus,-53,430504,other,
2085,Cyropaedia: The Education of Cyrus,-355,668048,other,
2090,Peach Blossom Shangri-la: Tao Hua Yuan Ji,427,25486,other,
21152,On Loving God,1153,22904,other,
21200,"The Letters of Cicero, Volume 1
The Whole Extant Correspodence in Chronological Order",-43,994216,other,
2130,Utopia,1535,261790,other,
2131,An Account of Egypt,-430,224479,other,
21584,The Iliad for Boys and Girls,-650,23713,other,
21765,"The Metamorphoses of Ovid, Books I-VII",17,780013,other,
21920,The Last Poems of Ovid,17,705161,other,
2199,The Iliad,-650,928999,other,
22003,The First Four Books of Xenophon's Anabasis,-355,378117,other,
22053,"Stories of King Arthur and His Knights
Retold from Malory's ""Morte dArthur""",1471,392624,other,
22093,The sagas of Olaf Tryggvason and of Harald the Tyrant (Harald Haardraade),1241,412280,other,
22295,On prayer and the contemplative life,1274,451300,other,
22382,The Iliad,-650,1112929,other,
22456,The Aeneid of Virgil,-19,587099,other,
22535,"Rubáiyát of Omar Khayyám, and Salámán and Absál
Together with a Life of Edward Fitzgerald and an Essay on Persian Poetry by Ralph Waldo Emerson",1122,155530,other,
22789,On the Duties of the Clergy,397,25328,other,
228,The Aeneid,-19,746802,other,
230,The Bucolics and Eclogues,-19,68420,other,
23082,The Consolation of Philosophy,524,25446,other,
232,The Georgics,-19,145331,other,
23639,Plutarch's Morals,119,956648,other,
23700,The Decameron of Giovanni Boccaccio,1375,1750464,other,
23720,To Lesbia,-53,23683,other,
23722,The Canterbury Tales,1400,25284,other,
2383,"The Canterbury Tales, and Other Poems",1400,1729309,other,
24055,The Sayings of Confucius,-479,196046,other,
2412,The Categories,-322,103415,other,
24269,The Odyssey of Homer,-650,822189,other,
2456,The History of Herodotus — Volume 2,-430,856338,other,
246,The Rubaiyat of Omar Khayyam,1122,90423,other,
2464,"History of Florence and of the Affairs of Italy
From the Earliest Times to the Death of Lorenzo the Magnificent",1527,974569,other,
2484,"The Boys' and Girls' Plutarch
Being Parts of the ""Lives"" of Plutarch, Edited for Boys and Girls",119,846881,other,
24856,"Odysseus, the Hero of Ithaca
Adapted from the Third Book of the Primary Schools of Athens, Greece",-650,287053,other,
