title,book_id,death_year,plain_text_url,plain_text_extent_bytes
"Plutarch's Lives, Volume 2 (of 4)",14114,119,https://www.gutenberg.org/ebooks/14114.txt.utf-8,1160894
"Plutarch's Lives, Volume 3 (of 4)",14140,119,https://www.gutenberg.org/ebooks/14140.txt.utf-8,1379635
Historia Calamitatum,14268,1142,https://www.gutenberg.org/ebooks/14268.txt.utf-8,184517
A Merry Dialogue Declaringe the Properties of Shrowde Shrews and Honest Wives,14282,1536,https://www.gutenberg.org/ebooks/14282.txt.utf-8,92058
"The Electra of Euripides
Translated into English rhyming verse",14322,-406,https://www.gutenberg.org/ebooks/14322.txt.utf-8,136789
The Consolation of Philosophy,14328,524,https://www.gutenberg.org/ebooks/14328.txt.utf-8,275715
"The Agamemnon of Aeschylus
Translated into English Rhyming Verse with Explanatory Notes",14417,-456,https://www.gutenberg.org/ebooks/14417.txt.utf-8,144606
The Seven Plays in English Verse,14484,-406,https://www.gutenberg.org/ebooks/14484.txt.utf-8,567051
"Two Dyaloges (c. 1549)
Wrytten in laten by the famous clerke, D. Erasm[us] of Roterodame, one called Polyphemus or the gospeller, the other dysposyng of thynges and names, translated in to Englyshe by Edmonde Becke.",14500,1536,https://www.gutenberg.org/ebooks/14500.txt.utf-8,68351
The Elder Eddas of Saemund Sigfusson; and the Younger Eddas of Snorre Sturleson,14726,1133,https://www.gutenberg.org/ebooks/14726.txt.utf-8,527261
"A dialoge or communication of two persons
Deuysyd and set forthe in the late[n] tonge, by the noble and famose clarke. Desiderius Erasmus intituled [the] pylgremage of pure deuotyon. Newly tra[n]slatyd into Englishe.",14746,1536,https://www.gutenberg.org/ebooks/14746.txt.utf-8,101434
Cato Maior de Senectute with Introduction and Notes,14945,-43,https://www.gutenberg.org/ebooks/14945.txt.utf-8,353858
The Republic,1497,-348,https://www.gutenberg.org/ebooks/1497.txt.utf-8,1244214
Academica,14970,-43,https://www.gutenberg.org/ebooks/14970.txt.utf-8,641598
"Cicero's Tusculan Disputations
Also, Treatises On The Nature Of The Gods, And On The Commonwealth",14988,-43,https://www.gutenberg.org/ebooks/14988.txt.utf-8,1069489
The Republic,150,-348,https://www.gutenberg.org/ebooks/150.txt.utf-8,715588
"A Dialogue Concerning Oratory, or the Causes of Corrupt Eloquence
The Works of Cornelius Tacitus, Volume 8 (of 8); With an Essay on His Life and Genius, Notes, Supplements",15017,117,https://www.gutenberg.org/ebooks/15017.txt.utf-8,439668
"The Tragedies of Euripides, Volume I.",15081,-406,https://www.gutenberg.org/ebooks/15081.txt.utf-8,896236
Critias,1571,-348,https://www.gutenberg.org/ebooks/1571.txt.utf-8,75831
Timaeus,1572,-348,https://www.gutenberg.org/ebooks/1572.txt.utf-8,475731
"Machiavelli, Volume I",15772,1527,https://www.gutenberg.org/ebooks/15772.txt.utf-8,779707
Lysis,1579,-348,https://www.gutenberg.org/ebooks/1579.txt.utf-8,87920
Charmides,1580,-348,https://www.gutenberg.org/ebooks/1580.txt.utf-8,143860
Laches,1584,-348,https://www.gutenberg.org/ebooks/1584.txt.utf-8,87824
Thoughts of Marcus Aurelius Antoninus,15877,180,https://www.gutenberg.org/ebooks/15877.txt.utf-8,451756
Protagoras,1591,-348,https://www.gutenberg.org/ebooks/1591.txt.utf-8,176244
Euthydemus,1598,-348,https://www.gutenberg.org/ebooks/1598.txt.utf-8,136722
Symposium,1600,-348,https://www.gutenberg.org/ebooks/1600.txt.utf-8,201016
Cratylus,1616,-348,https://www.gutenberg.org/ebooks/1616.txt.utf-8,326492
A Very Pleasaunt & Fruitful Diologe Called the Epicure,16246,1536,https://www.gutenberg.org/ebooks/16246.txt.utf-8,89077
Ion,1635,-348,https://www.gutenberg.org/ebooks/1635.txt.utf-8,56054
Phaedrus,1636,-348,https://www.gutenberg.org/ebooks/1636.txt.utf-8,235404
Euthyphro,1642,-348,https://www.gutenberg.org/ebooks/1642.txt.utf-8,71350
Meno,1643,-348,https://www.gutenberg.org/ebooks/1643.txt.utf-8,145498
"The Iliad of Homer
Translated into English Blank Verse by William Cowper",16452,-650,https://www.gutenberg.org/ebooks/16452.txt.utf-8,1052055
The Imitation of Christ,1653,1471,https://www.gutenberg.org/ebooks/1653.txt.utf-8,374998
Apology,1656,-348,https://www.gutenberg.org/files/1656/1656-0.txt,107813
"Amphitryo, Asinaria, Aulularia, Bacchides, Captivi
Amphitryon, The Comedy of Asses, The Pot of Gold, The Two
Bacchises, The Captives",16564,-184,https://www.gutenberg.org/ebooks/16564.txt.utf-8,841660
Crito,1657,-348,https://www.gutenberg.org/ebooks/1657.txt.utf-8,56164
Phaedo,1658,-348,https://www.gutenberg.org/ebooks/1658.txt.utf-8,257145
Gorgias,1672,-348,https://www.gutenberg.org/ebooks/1672.txt.utf-8,355879
The Chronicle of the Canons Regular of Mount St. Agnes,16759,1471,https://www.gutenberg.org/ebooks/16759.txt.utf-8,330600
Menexenus,1682,-348,https://www.gutenberg.org/ebooks/1682.txt.utf-8,77894
"The Improvement of Human Reason
Exhibited in the Life of Hai Ebn Yokdhan",16831,1185,https://www.gutenberg.org/ebooks/16831.txt.utf-8,283724
Parmenides,1687,-348,https://www.gutenberg.org/ebooks/1687.txt.utf-8,221910
"Tacitus: The Histories, Volumes I and II",16927,117,https://www.gutenberg.org/ebooks/16927.txt.utf-8,744408
The Story of Troy,16990,-650,https://www.gutenberg.org/ebooks/16990.txt.utf-8,305708
"Dialogue of Comfort Against Tribulation
With Modifications To Obsolete Language By Monica Stevens",17075,1535,https://www.gutenberg.org/ebooks/17075.txt.utf-8,581117
Theaetetus,1726,-348,https://www.gutenberg.org/ebooks/1726.txt.utf-8,397587
"The Odyssey
Rendered into English prose for the use of those who cannot read the original",1727,-650,https://www.gutenberg.org/ebooks/1727.txt.utf-8,717826
The Odyssey of Homer,1728,-650,https://www.gutenberg.org/ebooks/1728.txt.utf-8,790930
Sophist,1735,-348,https://www.gutenberg.org/ebooks/1735.txt.utf-8,286716
Statesman,1738,-348,https://www.gutenberg.org/ebooks/1738.txt.utf-8,253004
Philebus,1744,-348,https://www.gutenberg.org/ebooks/1744.txt.utf-8,286940
The Memorable Thoughts of Socrates,17490,-355,https://www.gutenberg.org/ebooks/17490.txt.utf-8,335175
Laws,1750,-348,https://www.gutenberg.org/ebooks/1750.txt.utf-8,1364463
"Summa Theologica, Part I (Prima Pars)
From the Complete American Edition",17611,1274,https://www.gutenberg.org/ebooks/17611.txt.utf-8,2911982
"The Sonnets, Triumphs, and Other Poems of Petrarch",17650,1374,https://www.gutenberg.org/ebooks/17650.txt.utf-8,1196089
"Summa Theologica, Part I-II (Pars Prima Secundae)
From the Complete American Edition",17897,1274,https://www.gutenberg.org/ebooks/17897.txt.utf-8,2903089
"The Norwegian account of Haco's expedition against Scotland, A.D. MCCLXIII.",18299,1284,https://www.gutenberg.org/ebooks/18299.txt.utf-8,95194
Hypnerotomachia: The Strife of Loue in a Dreame,18459,1527,https://www.gutenberg.org/ebooks/18459.txt.utf-8,443678
"The Æneid of Virgil, Translated into English Verse",18466,-19,https://www.gutenberg.org/ebooks/18466.txt.utf-8,688692
"The Letters of Cassiodorus
Being a Condensed Translation of the Variae Epistolae of Magnus Aurelius Cassiodorus Senator",18590,580,https://www.gutenberg.org/ebooks/18590.txt.utf-8,1210146
"Summa Theologica, Part II-II (Secunda Secundae)
Translated by Fathers of the English Dominican Province",18755,1274,https://www.gutenberg.org/ebooks/18755.txt.utf-8,4214883
"The Poems and Fragments of Catullus
Translated in the Metres of the Original",18867,-53,https://www.gutenberg.org/ebooks/18867.txt.utf-8,191524
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",18947,1241,https://www.gutenberg.org/ebooks/18947.txt.utf-8,407658
Book of illustrations : Ancient Tragedy,19559,-456,https://www.gutenberg.org/ebooks/19559.txt.utf-8,261477
Cathay,19679,762,https://www.gutenberg.org/files/19679/19679.txt,23140
"The History of Rome, Books 01 to 08",19725,16,https://www.gutenberg.org/ebooks/19725.txt.utf-8,1392142
The Poetics of Aristotle,1974,-322,https://www.gutenberg.org/ebooks/1974.txt.utf-8,108556
Euthyphro,19840,-348,https://www.gutenberg.org/files/19840/19840.txt,22504
"The Divine Comedy, Volume 1, Hell",1995,1321,https://www.gutenberg.org/ebooks/1995.txt.utf-8,290862
"Summa Theologica, Part III (Tertia Pars)
From the Complete American Edition",19950,1274,https://www.gutenberg.org/files/19950/19950.txt,2757589
"The Divine Comedy, Volume 2, Purgatory",1996,1321,https://www.gutenberg.org/ebooks/1996.txt.utf-8,309789
"The Divine Comedy, Volume 3, Paradise",1997,1321,https://www.gutenberg.org/ebooks/1997.txt.utf-8,308334
The Fourth Book of Virgil's Aeneid and the Ninth Book of Voltaire's Henriad,20144,-19,https://www.gutenberg.org/ebooks/20144.txt.utf-8,100765
"The Ship of Fools, Volume 1",20179,1521,https://www.gutenberg.org/ebooks/20179.txt.utf-8,535420
Poetics,20685,-322,https://www.gutenberg.org/files/20685/20685-readme.txt,22770
The Carmina of Caius Valerius Catullus,20732,-53,https://www.gutenberg.org/ebooks/20732.txt.utf-8,430504
Cyropaedia: The Education of Cyrus,2085,-355,https://www.gutenberg.org/ebooks/2085.txt.utf-8,668048
Peach Blossom Shangri-la: Tao Hua Yuan Ji,2090,427,https://www.gutenberg.org/ebooks/2090.txt.utf-8,25486
On Loving God,21152,1153,https://www.gutenberg.org/files/21152/21152-readme.txt,22904
"The Letters of Cicero, Volume 1
The Whole Extant Correspodence in Chronological Order",21200,-43,https://www.gutenberg.org/ebooks/21200.txt.utf-8,994216
Utopia,2130,1535,https://www.gutenberg.org/ebooks/2130.txt.utf-8,261790
An Account of Egypt,2131,-430,https://www.gutenberg.org/ebooks/2131.txt.utf-8,224479
The Iliad for Boys and Girls,21584,-650,https://www.gutenberg.org/files/21584/21584-readme.txt,23713
"The Metamorphoses of Ovid, Books I-VII",21765,17,https://www.gutenberg.org/ebooks/21765.txt.utf-8,780013
The Last Poems of Ovid,21920,17,https://www.gutenberg.org/ebooks/21920.txt.utf-8,705161
The Iliad,2199,-650,https://www.gutenberg.org/ebooks/2199.txt.utf-8,928999
The First Four Books of Xenophon's Anabasis,22003,-355,https://www.gutenberg.org/ebooks/22003.txt.utf-8,378117
"Stories of King Arthur and His Knights
Retold from Malory's ""Morte dArthur""",22053,1471,https://www.gutenberg.org/ebooks/22053.txt.utf-8,392624
The sagas of Olaf Tryggvason and of Harald the Tyrant (Harald Haardraade),22093,1241,https://www.gutenberg.org/ebooks/22093.txt.utf-8,412280
On prayer and the contemplative life,22295,1274,https://www.gutenberg.org/ebooks/22295.txt.utf-8,451300
The Iliad,22382,-650,https://www.gutenberg.org/ebooks/22382.txt.utf-8,1112929
The Aeneid of Virgil,22456,-19,https://www.gutenberg.org/ebooks/22456.txt.utf-8,587099
"Rubáiyát of Omar Khayyám, and Salámán and Absál
Together with a Life of Edward Fitzgerald and an Essay on Persian Poetry by Ralph Waldo Emerson",22535,1122,https://www.gutenberg.org/ebooks/22535.txt.utf-8,155530
On the Duties of the Clergy,22789,397,https://www.gutenberg.org/files/22789/22789-readme.txt,25328
The Aeneid,228,-19,https://www.gutenberg.org/ebooks/228.txt.utf-8,746802
The Bucolics and Eclogues,230,-19,https://www.gutenberg.org/ebooks/230.txt.utf-8,68420
The Consolation of Philosophy,23082,524,https://www.gutenberg.org/files/23082/23082-readme.txt,25446
The Georgics,232,-19,https://www.gutenberg.org/ebooks/232.txt.utf-8,145331
Plutarch's Morals,23639,119,https://www.gutenberg.org/ebooks/23639.txt.utf-8,956648
The Decameron of Giovanni Boccaccio,23700,1375,https://www.gutenberg.org/ebooks/23700.txt.utf-8,1750464
To Lesbia,23720,-53,https://www.gutenberg.org/files/23720/23720-readme.txt,23683
The Canterbury Tales,23722,1400,https://www.gutenberg.org/files/23722/23722-readme.txt,25284
"The Canterbury Tales, and Other Poems",2383,1400,https://www.gutenberg.org/ebooks/2383.txt.utf-8,1729309
The Sayings of Confucius,24055,-479,https://www.gutenberg.org/ebooks/24055.txt.utf-8,196046
The Categories,2412,-322,https://www.gutenberg.org/ebooks/2412.txt.utf-8,103415
The Odyssey of Homer,24269,-650,https://www.gutenberg.org/ebooks/24269.txt.utf-8,822189
The History of Herodotus — Volume 2,2456,-430,https://www.gutenberg.org/ebooks/2456.txt.utf-8,856338
The Rubaiyat of Omar Khayyam,246,1122,https://www.gutenberg.org/ebooks/246.txt.utf-8,90423
"History of Florence and of the Affairs of Italy
From the Earliest Times to the Death of Lorenzo the Magnificent",2464,1527,https://www.gutenberg.org/ebooks/2464.txt.utf-8,974569
"The Boys' and Girls' Plutarch
Being Parts of the ""Lives"" of Plutarch, Edited for Boys and Girls",2484,119,https://www.gutenberg.org/ebooks/2484.txt.utf-8,846881
"Odysseus, the Hero of Ithaca
Adapted from the Third Book of the Primary Schools of Athens, Greece",24856,-650,https://www.gutenberg.org/ebooks/24856.txt.utf-8,287053
"The prophete Ionas with an introduccion
before teachinge to vnderstonde him and the right vse also of all the scripture/ and why it was written/ and what is therin to be sought/ and shewenge wherewith the scripture is locked vpp that he which readeth it/ can not vnderstonde it/ though he studie therin neuer so moch: and agayne with what keyes it is so opened/ that the reader can be stopped out with no sotilte or false doctrine of man/ from the true sense and vnderstondynge therof.",24890,1536,https://www.gutenberg.org/ebooks/24890.txt.utf-8,72610
The Clouds,2562,-388,https://www.gutenberg.org/ebooks/2562.txt.utf-8,115879
Troilus and Criseyde,257,1400,https://www.gutenberg.org/ebooks/257.txt.utf-8,521436
Peace,2571,-388,https://www.gutenberg.org/ebooks/2571.txt.utf-8,113083
St. Bernard of Clairvaux's Life of St. Malachy of Armagh,25761,1153,https://www.gutenberg.org/ebooks/25761.txt.utf-8,532203
The Form of Perfect Living and Other Prose Treatises,25856,1349,https://www.gutenberg.org/ebooks/25856.txt.utf-8,202981
"The Metamorphoses of Ovid, Books VIII-XV",26073,17,https://www.gutenberg.org/ebooks/26073.txt.utf-8,853862
The Athenian Constitution,26095,-322,https://www.gutenberg.org/ebooks/26095.txt.utf-8,164596
The Imitation of Christ,26222,1471,https://www.gutenberg.org/files/26222/26222-readme.txt,23090
The History of the Peloponnesian War,26245,-395,https://www.gutenberg.org/files/26245/26245-readme.txt,24674
The Prince,26253,1527,https://www.gutenberg.org/files/26253/26253-readme.txt,23862
"Confessio Amantis; Or, Tales of the Seven Deadly Sins",266,1408,https://www.gutenberg.org/ebooks/266.txt.utf-8,1159057
Meditations,2680,180,https://www.gutenberg.org/ebooks/2680.txt.utf-8,425350
The History of Herodotus — Volume 1,2707,-430,https://www.gutenberg.org/ebooks/2707.txt.utf-8,915847
Aeschylus' Prometheus Bound and the Seven Against Thebes,27458,-456,https://www.gutenberg.org/ebooks/27458.txt.utf-8,190406
